기준연도,시도코드,시도명,시군구코드,시군구명,분만_A취약지,분만_접근성취약인구비율(백분율),분만_TRI(백분율),소아청소년과_취약지,소아청소년과_접근성취약인구비율(백분율),소아청소년과_TRI(백분율),인공신장실_취약지,인공신장실_접근성취약인구비율(백분율),인공신장실_TRI(백분율),응급_취약지,가임여성인구(백분율),분만건수(건),인구수(명),노인인구비율(백분율),재정자립도(백분율),의료급여 수급자 비율(백분율),면적당종합병원(100제곱킬로미터당 개수),면적당병원(100제곱킬로미터당 개수),면적당의원(100제곱킬로미터당 개수)
2023,26,부산광역시,26470,연제구,,0,94.1314554,,0,89.47,,0,97.17803896,,21.43843006,852,205766,22.46095079,18.7,3.621589573,8.260375972,107.3848876,1486.867675
2023,26,부산광역시,26500,수영구,,0,92.87833828,,0,93.14,,0,97.76493944,,22.15645378,674,174518,24.36883301,20,3.475859224,29.36154006,88.08462019,1389.779563
2023,26,부산광역시,26530,사상구,,0,93.53562005,,0,97.16,,0,98.62086911,,19.08028305,758,202932,22.51985887,19.1,5.651646857,5.539456664,24.92755499,310.2095732
2023,26,부산광역시,26710,기장군,,0,89.50403691,,0,92.69,,0,90.09749416,Y,21.89236218,867,178729,18.43293478,26.6,3.498592842,0.4580081,3.206056702,41.67873713
2023,27,대구광역시,27110,중구,,0,95.98214286,,0,98.75,,0,97.17682799,,24.49474535,448,89064,19.21427288,28.6,3.05510644,42.51944793,198.4240904,3869.269762
2023,27,대구광역시,27140,동구,,0,92.9092114,,0,95.52,,0,98.00736536,,20.01470189,1509,342813,22.39004939,17.3,4.420777508,1.098220982,4.941994417,135.0811807
2023,27,대구광역시,27170,서구,,0,94.64285714,,0,95.46,,0,99.32581612,,16.91531373,392,164088,26.16644727,13.9,6.597069865,5.772463804,46.17971043,715.7855117
2023,27,대구광역시,27200,남구,,0,92.98597194,,0,97.97,,0,98.91155786,,20.17286097,499,139187,26.26753935,10.6,7.430291622,22.94914743,51.63558172,688.474423
2023,27,대구광역시,27230,북구,,0,95.81684568,,0,97.89,,0,97.97780774,,21.49567232,1769,419624,17.55738471,17.7,3.149247898,2.128864201,24.48193832,289.5255314
2023,27,대구광역시,27260,수성구,,0,93.06688418,,0,94.64,,0,97.63886062,,21.80192522,1226,407331,18.4142626,28.6,3.417613685,1.306574576,16.98546949,522.6298305
